Timestamp,Size,Source IP,Destination IP,Source Port,Destination Port
1739448546.01939,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.019417,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.019445,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.019471,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.019496,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.030715,263,10.0.2.15,206.247.141.133,36710,443
1739448546.031762,60,206.247.141.133,10.0.2.15,443,36710
1739448546.032613,85,10.0.2.15,173.194.76.84,38546,443
1739448546.033684,93,10.0.2.15,173.194.76.84,38546,443
1739448546.033799,60,173.194.76.84,10.0.2.15,443,38546
1739448546.03428,60,173.194.76.84,10.0.2.15,443,38546
1739448546.080625,150,206.247.141.133,10.0.2.15,8801,54346
1739448546.088244,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.088398,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.088652,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.088739,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.088808,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.088892,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.089126,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.089193,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.117874,1085,10.0.2.15,206.247.141.133,54346,8801
1739448546.119504,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.11973,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.119758,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.119788,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.119814,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.119864,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.119892,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.119919,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.119945,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.119971,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.119997,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.120025,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.120051,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.140544,90,10.0.2.15,10.0.2.3,33498,53
1739448546.151735,74,10.0.2.15,216.58.204.238,34054,443
1739448546.158931,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.158993,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.159021,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.159048,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.159179,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.159267,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.159854,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.159887,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.159915,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.159942,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.159989,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.160016,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.185246,104,206.247.141.133,10.0.2.15,443,36710
1739448546.185292,54,10.0.2.15,206.247.141.133,36710,443
1739448546.200212,90,10.0.2.3,10.0.2.15,53,33498
1739448546.209317,60,216.58.204.238,10.0.2.15,443,34054
1739448546.209435,54,10.0.2.15,216.58.204.238,34054,443
1739448546.210981,1879,10.0.2.15,216.58.204.238,34054,443
1739448546.211652,60,216.58.204.238,10.0.2.15,443,34054
1739448546.211652,60,216.58.204.238,10.0.2.15,443,34054
1739448546.216794,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.217246,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.218767,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.221847,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.223175,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.224091,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.237261,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.237529,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.237675,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.237819,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.237974,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.238135,113,10.0.2.15,206.247.141.133,40813,8801
1739448546.271432,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.27168,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.271838,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.272216,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.272411,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.272565,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.272734,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.273138,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.273282,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.273575,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.27377,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.274037,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.30282,2934,216.58.204.238,10.0.2.15,443,34054
1739448546.304015,54,10.0.2.15,216.58.204.238,34054,443
1739448546.306754,4374,216.58.204.238,10.0.2.15,443,34054
1739448546.307434,54,10.0.2.15,216.58.204.238,34054,443
1739448546.310083,693,216.58.204.238,10.0.2.15,443,34054
1739448546.310094,54,10.0.2.15,216.58.204.238,34054,443
1739448546.32433,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.325336,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.325502,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.327308,125,10.0.2.15,128.139.200.12,44340,443
1739448546.327556,115,10.0.2.15,128.139.200.12,44340,443
1739448546.327785,118,10.0.2.15,128.139.200.12,38420,443
1739448546.328486,60,128.139.200.12,10.0.2.15,443,38420
1739448546.328754,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.328879,76,10.0.2.15,128.139.200.12,44340,443
1739448546.328943,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.32908,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.329215,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.32935,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.329486,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.329622,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.329756,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.329892,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.330086,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.330238,1078,10.0.2.15,206.247.141.133,54346,8801
1739448546.336703,572,128.139.200.12,10.0.2.15,443,44340
1739448546.337156,158,128.139.200.12,10.0.2.15,443,44340
1739448546.345105,497,10.0.2.15,128.139.200.12,44340,443
1739448546.34563,75,10.0.2.15,128.139.200.12,44340,443
1739448546.345836,75,10.0.2.15,128.139.200.12,44340,443
1739448546.360101,69,128.139.200.12,10.0.2.15,443,44340
1739448546.360731,353,128.139.200.12,10.0.2.15,443,44340
1739448546.360922,1288,128.139.200.12,10.0.2.15,443,44340
1739448546.361359,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.361833,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.362277,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.363452,1292,128.139.200.12,10.0.2.15,443,44340
1739448546.363453,1292,128.139.200.12,10.0.2.15,443,44340
