Timestamp,Size,Source IP,Destination IP,Source Port,Destination Port
1739466901.101083,66,34.107.152.202,10.9.21.209,443,43302
1739466901.103047,2802,34.107.152.202,10.9.21.209,443,43292
1739466901.103055,66,10.9.21.209,34.107.152.202,43292,443
1739466901.103047,430,34.107.152.202,10.9.21.209,443,43292
1739466901.103073,66,10.9.21.209,34.107.152.202,43292,443
1739466901.103669,136,172.16.0.232,10.9.21.209,53,52931
1739466901.104021,2114,34.107.152.202,10.9.21.209,443,43302
1739466901.104026,66,10.9.21.209,34.107.152.202,43302,443
1739466901.104021,1118,34.107.152.202,10.9.21.209,443,43302
1739466901.104039,66,10.9.21.209,34.107.152.202,43302,443
1739466901.104021,74,216.58.204.131,10.9.21.209,80,38330
1739466901.104045,66,10.9.21.209,216.58.204.131,38330,80
1739466901.10446,505,10.9.21.209,128.139.199.8,37028,80
1739466901.104512,507,10.9.21.209,216.58.204.131,38330,80
1739466901.104741,74,10.9.21.209,128.139.199.8,37032,80
1739466901.109349,66,128.139.199.8,10.9.21.209,80,37028
1739466901.109349,74,128.139.199.8,10.9.21.209,80,37032
1739466901.109377,66,10.9.21.209,128.139.199.8,37032,80
1739466901.109464,505,10.9.21.209,128.139.199.8,37032,80
1739466901.110276,955,128.139.199.8,10.9.21.209,80,37028
1739466901.11028,66,10.9.21.209,128.139.199.8,37028,80
1739466901.110968,130,10.9.21.209,34.107.152.202,43292,443
1739466901.111104,158,10.9.21.209,34.107.152.202,43292,443
1739466901.114049,104,34.160.144.191,10.9.21.209,443,58022
1739466901.114064,66,10.9.21.209,34.160.144.191,58022,443
1739466901.114049,66,34.160.144.191,10.9.21.209,443,58022
1739466901.114923,66,128.139.199.8,10.9.21.209,80,37032
1739466901.115552,955,128.139.199.8,10.9.21.209,80,37032
1739466901.115558,66,10.9.21.209,128.139.199.8,37032,80
1739466901.115801,1168,216.58.204.131,10.9.21.209,80,38326
1739466901.115808,66,10.9.21.209,216.58.204.131,38326,80
1739466901.116146,130,10.9.21.209,34.107.152.202,43302,443
1739466901.116304,175,10.9.21.209,34.107.152.202,43302,443
1739466901.117846,183,10.9.21.209,34.117.188.166,48415,443
1739466901.117864,107,10.9.21.209,34.117.188.166,48415,443
1739466901.117945,129,10.9.21.209,34.117.188.166,48415,443
1739466901.118496,66,34.160.144.191,10.9.21.209,443,58022
1739466901.123337,101,10.9.21.209,172.16.0.231,47162,53
1739466901.123378,101,10.9.21.209,172.16.0.231,43773,53
1739466901.133697,56,10.9.29.190,224.0.0.251,Unknown,Unknown
1739466901.134941,74,10.9.21.209,34.149.100.209,41938,443
1739466901.138634,112,172.16.0.231,10.9.21.209,53,39920
1739466901.138634,180,172.16.0.231,10.9.21.209,53,34315
1739466901.140365,74,10.9.21.209,34.107.243.93,50820,443
1739466901.155821,89,172.16.0.231,10.9.21.209,53,41056
1739466901.156563,89,10.9.21.209,172.16.0.231,41056,53
1739466901.157872,66,216.58.204.131,10.9.21.209,80,38330
1739466901.159951,89,172.16.0.231,10.9.21.209,53,41056
1739466901.159983,78,10.9.21.209,172.16.0.231,41056,53
1739466901.163524,78,172.16.0.231,10.9.21.209,53,41056
1739466901.164178,89,10.9.21.209,172.16.0.231,40251,53
1739466901.164244,652,34.107.152.202,10.9.21.209,443,43292
1739466901.164244,97,34.107.152.202,10.9.21.209,443,43292
1739466901.16462,97,10.9.21.209,34.107.152.202,43292,443
1739466901.16789,89,172.16.0.231,10.9.21.209,53,40251
1739466901.167969,89,10.9.21.209,172.16.0.231,40251,53
1739466901.169604,684,34.107.152.202,10.9.21.209,443,43302
1739466901.169604,97,34.107.152.202,10.9.21.209,443,43302
1739466901.16987,66,10.9.21.209,34.107.152.202,43302,443
1739466901.169897,90,10.9.21.209,34.107.152.202,43302,443
