Timestamp,Size,Source IP,Destination IP,Source Port,Destination Port
1739447083.814039,91,10.0.2.15,10.0.2.3,49819,53
1739447083.816719,60,104.199.65.9,10.0.2.15,4070,32778
1739447083.816719,166,10.0.2.3,10.0.2.15,53,42693
1739447083.817079,54,10.0.2.15,104.199.65.9,32778,4070
1739447083.817383,74,10.0.2.15,35.186.224.26,36782,443
1739447083.817824,74,10.0.2.15,35.186.224.26,36788,443
1739447083.81794,74,10.0.2.15,35.186.224.26,36804,443
1739447083.818042,74,10.0.2.15,35.186.224.26,36818,443
1739447083.818153,74,10.0.2.15,35.186.224.26,36820,443
1739447083.818277,74,10.0.2.15,35.186.224.26,36826,443
1739447083.818933,91,10.0.2.15,10.0.2.3,49341,53
1739447083.821514,176,10.0.2.3,10.0.2.15,53,49819
1739447083.822334,74,10.0.2.15,35.186.224.41,52484,443
1739447083.824548,176,10.0.2.3,10.0.2.15,53,49341
1739447083.825552,91,10.0.2.15,10.0.2.3,36845,53
1739447083.825767,91,10.0.2.15,10.0.2.3,48458,53
1739447083.825942,91,10.0.2.15,10.0.2.3,37279,53
1739447083.831607,1292,10.0.2.15,35.186.224.24,35419,443
1739447083.831706,1292,10.0.2.15,35.186.224.24,35419,443
1739447083.833294,176,10.0.2.3,10.0.2.15,53,36845
1739447083.833833,176,10.0.2.3,10.0.2.15,53,37279
1739447083.833833,176,10.0.2.3,10.0.2.15,53,48458
1739447083.83504,345,10.0.2.15,104.199.65.9,32778,4070
1739447083.83691,60,104.199.65.9,10.0.2.15,4070,32778
1739447083.837723,91,10.0.2.15,10.0.2.3,42665,53
1739447083.837963,91,10.0.2.15,10.0.2.3,56034,53
1739447083.841334,82,35.186.224.24,10.0.2.15,443,55123
1739447083.842216,1292,35.186.224.24,10.0.2.15,443,55123
1739447083.84415,1292,35.186.224.24,10.0.2.15,443,55123
1739447083.84527,1292,35.186.224.24,10.0.2.15,443,55123
1739447083.845271,552,35.186.224.24,10.0.2.15,443,55123
1739447083.84603,176,10.0.2.3,10.0.2.15,53,56034
1739447083.84603,176,10.0.2.3,10.0.2.15,53,42665
1739447083.846085,1292,10.0.2.15,35.186.224.24,55123,443
1739447083.84723,82,10.0.2.15,35.186.224.24,55123,443
1739447083.847528,91,10.0.2.15,10.0.2.3,57698,53
1739447083.847532,91,10.0.2.15,10.0.2.3,58574,53
1739447083.85071,82,35.186.224.24,10.0.2.15,443,41558
1739447083.850711,1292,35.186.224.24,10.0.2.15,443,41558
1739447083.851184,1292,35.186.224.24,10.0.2.15,443,41558
1739447083.852009,1292,35.186.224.24,10.0.2.15,443,41558
1739447083.852285,561,35.186.224.24,10.0.2.15,443,41558
1739447083.856244,60,35.186.224.24,10.0.2.15,443,34812
1739447083.856244,176,10.0.2.3,10.0.2.15,53,58574
1739447083.856244,176,10.0.2.3,10.0.2.15,53,57698
1739447083.856244,145,10.0.2.3,10.0.2.15,53,40113
1739447083.856244,101,10.0.2.3,10.0.2.15,53,41403
1739447083.856282,54,10.0.2.15,35.186.224.24,34812,443
1739447083.85718,1292,10.0.2.15,35.186.224.24,41558,443
1739447083.857502,106,10.0.2.15,10.0.2.3,41081,53
1739447083.861727,60,35.186.224.24,10.0.2.15,443,34848
1739447083.861727,60,35.186.224.24,10.0.2.15,443,34832
1739447083.861727,60,35.186.224.24,10.0.2.15,443,34828
1739447083.86176,54,10.0.2.15,35.186.224.24,34848,443
1739447083.861794,54,10.0.2.15,35.186.224.24,34832,443
1739447083.861818,54,10.0.2.15,35.186.224.24,34828,443
1739447083.862938,88,10.0.2.3,10.0.2.15,53,56534
1739447083.862938,100,10.0.2.3,10.0.2.15,53,43742
